Iteration	Posterior	Likelihood	Prior	lambda	rate[1]	rate[2]	tr[1]	tr[2]	word_rate_mult[1]	word_rate_mult[2]	word_rate_mult[3]	word_rate_mult[4]	word_rate_mult[5]	word_rate_mult[6]	word_rate_mult[7]	word_rate_mult[8]	word_rate_mult[9]	word_rate_mult[10]	word_rate_mult[11]
295	-657.0227	-636.7565	-20.26614	0.01226119	0.969064	0.0309358	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
300	-660.8904	-640.8137	-20.07667	0.01036652	0.961073	0.0389275	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
305	-656.0974	-636.6515	-19.44585	0.00831705	0.969231	0.0307687	0.5	0.5	0.0290771	0.0236583	0.0385863	10.6975	0.0198134	0.0076123	0.0474032	0.0254535	0.0467381	0.0323111	0.0318573
310	-645.9612	-626.3096	-19.65152	0.01037378	0.962777	0.0372234	0.5	0.5	0.0290771	0.0236583	0.0385863	10.6975	0.0198134	0.0076123	0.0474032	0.0254535	0.0467381	0.0323111	0.0318573
315	-655.8141	-636.1626	-19.65152	0.01037378	0.963948	0.0360522	0.5	0.5	0.0290771	0.0236583	0.0385863	10.6975	0.0198134	0.0076123	0.0474032	0.0254535	0.0467381	0.0323111	0.0318573
320	-654.2163	-634.5648	-19.65152	0.01037378	0.943854	0.0561463	0.5	0.5	0.0290771	0.0236583	0.0385863	10.6975	0.0198134	0.0076123	0.0474032	0.0254535	0.0467381	0.0323111	0.0318573
325	-649.0364	-629.166	-19.87036	0.01256217	0.958261	0.0417389	0.5	0.5	0.0290771	0.0236583	0.0385863	10.6975	0.0198134	0.0076123	0.0474032	0.0254535	0.0467381	0.0323111	0.0318573
330	-661.877	-641.79	-20.08693	0.0147279	0.967472	0.0325278	0.5	0.5	0.0290771	0.0236583	0.0385863	10.6975	0.0198134	0.0076123	0.0474032	0.0254535	0.0467381	0.0323111	0.0318573
335	-658.8325	-639.272	-19.56051	0.009291809	0.98094	0.0190604	0.5	0.5	0.0290793	0.0236601	0.0385892	10.6983	0.0198149	0.00761287	0.0474068	0.0254554	0.0459067	0.0323135	0.0318597
340	-648.873	-629.47	-19.40306	0.007717291	0.972251	0.027749	0.5	0.5	0.0290793	0.0236601	0.0385892	10.6983	0.0198149	0.00761287	0.0474068	0.0254554	0.0459067	0.0323135	0.0318597
345	-654.8636	-635.0479	-19.81569	0.01184359	0.968849	0.0311509	0.5	0.5	0.0290793	0.0236601	0.0385892	10.6983	0.0198149	0.00761287	0.0474068	0.0254554	0.0459067	0.0323135	0.0318597
350	-657.0857	-637.6667	-19.41902	0.007876876	0.956323	0.0436766	0.5	0.5	0.0290793	0.0236601	0.0385892	10.6983	0.0198149	0.00761287	0.0474068	0.0254554	0.0459067	0.0323135	0.0318597
355	-653.3133	-633.6587	-19.65469	0.01023357	0.974685	0.0253146	0.5	0.5	0.0290793	0.0236601	0.0385892	10.6983	0.0198149	0.00761287	0.0474068	0.0254554	0.0459067	0.0323135	0.0318597
